ENTIDAD	EduDad	EduMom	floors	walls	sanitary	OverCr	dvd	cellPhone	fridge	washMach	heater	microWave	soundEqui	car	books	SEXO	ZONA	SECTOR	INSE
Tolima	0.153301886792453	0.117924528301887	0.035377358490566	0.0330188679245283	0.0471698113207547	0.0542452830188679	0	0	0	0	0	0	0	0	0.0966981132075472	0.00943396226415094	0	0	0
Tuluá	0.25	0.2	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumaco	0.16793893129771	0.122137404580153	0.0229007633587786	0.00763358778625954	0.0229007633587786	0.0305343511450382	0	0	0	0	0	0	0	0	0.0534351145038168	0	0	0	0
Tunja	0.154666666666667	0.101333333333333	0.0106666666666667	0.008	0.0133333333333333	0.0293333333333333	0	0	0	0	0	0	0	0	0.0506666666666667	0.008	0	0	0
Turbo	0.212041884816754	0.204188481675393	0.0654450261780105	0.0366492146596859	0.0602094240837696	0.0654450261780105	0	0	0	0	0	0	0	0	0.0994764397905759	0.00785340314136126	0	0	0
Uribia	0.131313131313131	0.161616161616162	0.0202020202020202	0	0.0404040404040404	0.0606060606060606	0	0	0	0	0	0	0	0	0.0707070707070707	0.0101010101010101	0	0	0
Valle del Cauca	0.143965517241379	0.101724137931034	0.021551724137931	0.0172413793103448	0.028448275862069	0.021551724137931	0	0	0	0	0	0	0	0	0.053448275862069	0.00172413793103448	0	0	0
Valledupar	0.10865561694291	0.0902394106813996	0.0220994475138122	0.0128913443830571	0.0147329650092081	0.0257826887661142	0	0	0	0	0	0	0	0	0.0718232044198895	0.00552486187845304	0	0	0
Vaupés	0.0689655172413793	0.0862068965517241	0	0.0172413793103448	0.0172413793103448	0.0172413793103448	0	0	0	0	0	0	0	0	0.0517241379310345	0	0	0	0
Villavicencio	0.161214953271028	0.100467289719626	0.0163551401869159	0.0163551401869159	0.0233644859813084	0.0257009345794393	0	0	0	0	0	0	0	0	0.0467289719626168	0.00467289719626168	0	0	0
Yopal	0.142857142857143	0.0974025974025974	0.0292207792207792	0.0162337662337662	0.0292207792207792	0.0292207792207792	0	0	0	0	0	0	0	0	0.0811688311688312	0.012987012987013	0	0	0
